COD. ENCUESTA;COD. ENCUESTA;COD. ENCUESTA;ENCUESTA;PERIODO;PAIS;PUNTO CÓDIGO;PUNTO NOMBRE;SECCIÓN CÓDIGO;SECCIÓN NOMBRE;FECHA ENCUESTA;24310;motivo-ins;24308;;24307;;24312;;25002;;24311;Indíquenos el porqué de su calificación (motivo-nps);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;33271;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4612;PRENSA;3253;CAJA UNIVERSAL;20-Oct-2022;10;"El señor es muy rápido, muy atento en general todo el departamento.
He tenido problema en el centro, las señoritas son muy lentas y son muy serias y no tienen paciencia. Por cualquier cosa se ponen enojadas, no le dicen porfavor vaya a cambiar le dicen no puede ser.
Deberían hablar con las chicas o con recursos humanos.
No deberían de tener esa atención porque por el servicio nos cobran.";9;;9;;SI;;FÁCIL;;9;"EL guardia le recibe muy amable.
La agencia es muy amplia.
Solo es ese inconveniente con las chicas del centro que deberían capacitarles. Porque siempre que voy no tienen una buena actitud.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;51122;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4590;CARAPUNGO;3253;CAJA UNIVERSAL;27-Oct-2022;10;"Porque es excelente.
Habido un buen servicio.
Muy cordiales 
Muy rápidos";10;;10;;SI;;FÁCIL;;10;"Por el servicio, la rapidez, que son eficientes.
El respeto por parte de los cajeros.
Por el momento ninguna recomendación, todo está bien.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;16917;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4623;25 DE JULIO;3253;CAJA UNIVERSAL;12-Oct-2022;10;Tengo buena atención, es la agencia que más utilizo porque está cerca a mi casa, en ocasiones nomas hay cositas que no me agrada, porque hay personas que lleva bastante monedas y como que demoran en la ventanilla y nos toca esperar demasiado, por la atención del persona es muy buena para mí.;10;;10;;SI;;FÁCIL;;10;Me gusta la cordialidad de los cajeros y cajeras, con ellos no he tenido ningún problema, una vez se me extravió mi cedula y fui hacer una transacción con la licencia y como soy cliente frecuente y por ese día me ayudaron hasta que pueda sacar mi nueva cedula, todos son amables.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;25554;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4636;LA LIBERTAD;3253;CAJA UNIVERSAL;17-Oct-2022;10;"Porque no he tenido ningún inconveniente.
Son cordiales.";10;;10;;SI;;MUY FÁCIL;;10;"Primero por la atención que tienen al cliente
Y porque la atención es rápida. No tengo ninguna sugerencia.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;39371;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4601;GUAMANI;3253;CAJA UNIVERSAL;21-Oct-2022;10;Que son educados los cajeros.;10;;10;;SI;;FÁCIL;;10;"Cuando es fin de mes y quincena que pongan más cajeros.
La atención es eficiente.
La seguridad.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;51509;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4597;CUMBAYA;3253;CAJA UNIVERSAL;27-Oct-2022;9;Me han atendido bien y rápido. ;9;;9;;SI;;FÁCIL;;9;"No he tenido problema ahí.
La atención no tengo nada más que decir tampoco tengo alguna recomendación.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;29451;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4576;AMBATO;3253;CAJA UNIVERSAL;19-Oct-2022;10;Por la muy buena atención y por la agilidad en las transacciones.;10;;10;;SI;;MUY FÁCIL;;10;Por la rapidez, por buen trato, por la cortesía y porque puedo pagar varios servicios en un mismo lugar.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20271;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4632;POLICENTRO;3253;CAJA UNIVERSAL;14-Oct-2022;9;Tener una mejor ayuda necesaria con respecto la los clientes que estamos ahí a veces preguntamos y a veces  las señoritas que están en ventanilla están ahí contando plata y hay una sola ventanilla y ha vemos como cincuenta personas.;10;;10;;SI;;FÁCIL;;10;"Porque servipagos tiene todo lo que uno necesita para pagar pagar, los servicios, cosas personales 
 de entidades bancarias, cumple con  todo en un  solo lugar que cumple con todo lo que se puede pagar ahí no hay necesidad de  salir  de un lado a otro lado y ya tenemos  en ese lugar.
Y sería bueno que implemente este servipagos en la zona de Vía club, porque a veces los bancos  que están por ahí créame que cierran a las dos tres de la tarde y ya no atienden, y ustedes por lo general siempre se quedan hasta las seis o siete de la noche.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;31718;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;5261;MULTIPLAZA LOS CHILLOS;3253;CAJA UNIVERSAL;19-Oct-2022;9;Activar más cajas el momento que ven que se aumenta la cantidad de personas que tiene que tiene que atender las colas son muy extensas.;10;;10;;SI;;FÁCIL;;8;"Por el tiempo que se demora en realizar las agilizar las filas.
que sea más ágil la atención en cuento a que existan más cajas habilitadas en lo práctico.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;21212;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4634;SAN FRANCISCO;3253;CAJA UNIVERSAL;01-Nov-2022;10;Porque la atención es buena.;10;;10;;SI;;MUY FÁCIL;;10;"Porque son muy amables y la forma de tratar al cliente.
Porque la atención siempre es buena y siempre lo recomiendo.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
