ZONA;RED;CIUDAD;AGENCIA;TIPO;MES;CUATRIMESTRE;ACTITUD;DESTREZAS DE SERVICIOS;IMAGEN Y ORDEN;CLIENTE FANTASMA;LEALTAD_ESFUERZO;LEALTAD_RECOMENDACIÓN;LEALTAD_RECOMPRA;LEALTAD_SATISFACCIÓN;ENCUESTA DE LEALTAD;INDICE CALIDAD DE SERVICIO;column.Auxiliar
ZONA 1;RED AGENCIAS;QUITO;CARCELEN;AGENCIA;nov-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;100,00%;100,00%;75,00%;91,7%;90,8%;1
ZONA 1;RED AGENCIAS;CAYAMBE;CAYAMBE;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;70,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;CHILLOGALLO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;65,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;CUMBAYA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;95,00%;70,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;FUNDACION VISTA PARA TODOS;EXPRESS;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;90,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;QUITO;GUAMANI;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;65,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;LA COMPAÑIA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;70,00%;90,00%;55,00%;71,7%;85,8%;1
ZONA 1;RED AGENCIAS;QUITO;LABRADOR;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;80,00%;91,7%;95,8%;1
ZONA 1;RED AGENCIAS;QUITO;MALDONADO;AGENCIA;nov-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;75,00%;100,00%;60,00%;78,3%;84,2%;1
ZONA 1;RED AGENCIAS;QUITO;MOLINEROS;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;95,00%;75,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;PANAMERICANA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;95,00%;75,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;PATRIA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;70,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;PLAZA ALEGRIA;AGENCIA;nov-22;C3;71,4%;100,0%;100,0%;82,9%;0,00%;85,00%;100,00%;70,00%;85,0%;83,9%;1
ZONA 1;RED AGENCIAS;QUITO;PRENSA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;75,00%;100,00%;80,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;REINA VICTORIA;AGENCIA;nov-22;C3;85,7%;100,0%;100,0%;91,4%;0,00%;95,00%;100,00%;95,00%;96,7%;94,0%;1
ZONA 1;RED AGENCIAS;QUITO;AXXIS;EXPRESS;nov-22;C3;100,0%;100,0%;100,0%;100,0%;11,11%;100,00%;100,00%;77,78%;92,6%;96,3%;1
ZONA 1;RED AGENCIAS;QUITO;SANGOLQUI;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;85,00%;100,00%;80,00%;88,3%;94,2%;1
ZONA 1;RED AGENCIAS;QUITO;SOLANDA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;65,00%;100,00%;75,00%;80,0%;90,0%;1
ZONA 1;RED AGENCIAS;QUITO;TUMBACO;AGENCIA;nov-22;C3;85,7%;100,0%;100,0%;91,4%;5,00%;65,00%;100,00%;65,00%;76,7%;84,0%;1
ZONA 1;RED AGENCIAS;RIOBAMBA;RIOBAMBA;AGENCIA;nov-22;C3;71,4%;100,0%;100,0%;82,9%;0,00%;95,24%;100,00%;85,71%;93,7%;88,3%;1
ZONA 1;RED AGENCIAS;SANTO DOMINGO;SANTO DOMINGO;AGENCIA;nov-22;C3;85,7%;100,0%;100,0%;91,4%;0,00%;100,00%;100,00%;100,00%;100,0%;95,7%;1
ZONA 1;RED AGENCIAS;SANTO DOMINGO;SERVIP EXPRESS AKI SANTO DOMINGO;EXPRESS;nov-22;C3;83,3%;100,0%;100,0%;90,0%;10,00%;85,00%;100,00%;80,00%;88,3%;89,2%;1
ZONA 2;RED AGENCIAS;CUENCA;CUENCA;AGENCIA;nov-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;90,00%;100,00%;90,00%;93,3%;91,7%;1
ZONA 2;RED AGENCIAS;CUENCA;TOTORACOCHA EXPRESS;EXPRESS;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;75,00%;100,00%;70,00%;81,7%;90,8%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;25 DE JULIO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;EL FORTIN;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;85,00%;95,00%;70,00%;83,3%;91,7%;1
